stt,ten_san_pham,don_gia,so_luong
97,Kẹo trái cây ( 12cai/hộp) - 894,15000,12
98,Kẹo trái cây ( 12cai/hộp ) - 887,15000,12
99,Kẹo dẻo Xuan Guo Le (Kẹo dẻo vị trái cây ) (6 lọ/ hộp),33000,6
100,Kẹo dẻo Xuan Guo Le Orchard (6lo/hộp),39000,6
101,Đậu phụ cá (Vị BBQ) - ( 20 gói/hộp ),6000,20
102,Đậu phụ cá (Nguyên vị) - 20 gói/hộp,6000,20
103,Kẹo dẻo Tianfeng ( kẹo dẻo vị nước ép trái cây) (8 lọ/hộp),33000,8
104,Kẹo dẻo Tianfeng Drift Bottle ( Kẹo dẻo vị sô cô la ) (8 lọ/hộp),33000,8
105,Sô cô la thay thế bơ ca cao vị matcha g ( 10 cái/hộp),14000,10
106,Sô cô la thay thế bơ ca cao vị sữa giòn thơm ( 20 hộp/thùng ),14000,20
107,Hạt dẻ rang nguyên vị (~100gói/thùng),15000,10
108,Măng trúc chua cay ( ~100 gói/thùng ),7000,20
109,Mận xanh khô ( 30 chai/thùng ),47000,5
110,Ô mai mận nguyên vị (sản phẩm từ mận) - 30 chai/thùng,47000,5
111,Ô mai mận chua (sản phẩm từ mận) - 30 chai/thùng,47000,5
112,Bánh tráng nướng sốt tôm cay 40g (100 gói/ 1 thùng ),19000,2
113,Đồ uống vị sữa dâu tây ( 18 hộp/thùng ),30000,2
114,Đậu hũ khô vị thơm cay ( ~166 gói/thùng),7000,20
115,Đồ uống vị sữa vải ( 18 hộp/thùng ),30000,2
116,Kẹo hương bạc hà vải thiều hoa hồng không đường ( 36 hộp/thùng ),22000,3
117,Bánh quy mini mỏng (vị sữa) ~65 gói/thùng,8000,2
118,Kẹo bạc hà không đường (hương dưa hấu tươi mát) ~12 cái/hộp,20000,12
119,Bánh tráng khô bò sa tế 40g (100 gói ),18000,10
120,Bánh tráng rong biển 40g ( 100 gói/thùng ),18000,10
121,Bánh tráng phô mai cay 40g ( 100 gói),18000,10
122,Bánh tráng khô gà siêu cay 40g ( 100 gói ),18000,10
123,Bánh trứng vị phô mai Goblim (120 gói/thùng),9000,10
124,Bánh trứng vị trứng muối Goblim (120 gói/ 1 thùng),9000,10
125,Snack tai mèo - vị ngũ vị hương ( 42 gói/thùng ),11000,6
126,Tôm chay (vị tỏi) - 20 gói/hộp,6000,20
127,Tôm chay (vị cay nồng) - 20 gói/hộp,6000,20
128,Thạch Pudding sữa chua ( 96 lọ/thùng ),19000,12
129,Bánh quy ca cao ( ~105 gói/thùng ),7000,10
130,Cuộn đậu phụ thủ công (cay tê nhẹ)- 175 gói/thùng,6000,20
131,Tàu hũ ky làm thủ công (cay tê thật sự) - 175 gói/thùng,6000,20
132,Trà chanh C2,10000,6
133,Măng trúc khoai nưa ( Jin mo fang ) ( 260 gói/thùng ),5000,20
134,Trà thảo mộc Jia duo bao,15000,24
135,Bánh quy kẹp nhân vị sữa QIAN YU (48gói/thùng),17000,5
136,Bánh quy vị matcha QIAN YU (48gói/thùng),17000,5
137,Cá QQ vị cay – hộp 12g ( 20 gói/hộp),6000,20
138,Cá QQ vị chua ngọt – hộp 12g (20 gói/ hộp),6000,20
139,Thạch Pudding lợi khuẩn 85g ( 96 lọ/thùng ),19000,6
140,Thạch Pudding trứng ( 96 Lọ/thùng ),19000,6
141,Lạp xưởng xông khói 145g (30 chiếc/ thùng),25000,4
142,Dâu tây khô (~118 gói/thùng ),19000,10
143,KTC SLIDE vị kem chua và hành 60g,29000,2
144,KTC SLIDE vị thịt nướng 60g,29000,2
145,KTC SLIDE pizza sò điệp và bào ngư 60g,29000,2
146,KTC SLIDE vị nguyên bản 60g,29000,2
147,KTC SLIDE phô mai 60g,29000,2
148,Bánh quy danisa bơ cacao 168g,38000,2
149,Bánh quy danisa chocofello 150g,38500,2
150,Kẹo dẻo chupa chups 45g,13000,8
151,Snack mực bento hải sản tầm vị cay 18g,29000,6
152,Snack mực bento vị sốt cay hàn quốc 18g,29000,6
153,Snack mực bento vị ớt cực cay 18g,29000,6
154,Kẹo nhai mentos cầu vồng thỏi 29,7g,7000,10
155,Kẹo nhai mentos bạc hà thỏi 29,7g,7000,5
156,Snack mì ennaak hương gà 30g,7000,34
157,Snack mì ennaak hương ớt 28g,7000,11
158,SCL dars milk 42g,38000,8
159,SCL dars dark 42g,38000,8
160,SCL dars white 42g,38000,8
161,SCL dars trà xanh 42g,38000,8
162,SCL m&m đậu phộng 90g,60000,2
163,SCL m&m sữa gói 90g,60000,5
164,Bánh brownie dừa giòn vị matcha,68000,5
165,Bánh brownie dừa giòn vị trà thái,68000,5
166,Bánh brownie dừa giòn vị mocha,68000,2
167,SCL nhân đậu phộng snickers 51g,30000,6
168,Kẹo singgum hubba bubba vị dâu,50000,2
169,Kẹo singgum hubba bubba vị nho,50000,2
170,Kẹo singgum hubba bubba vị truyền thống,50000,2
171,Kẹo dẻo haribo goldbears,32000,5
172,Kẹo dẻo haribo starmix 80g,32000,2
173,Nước cam có teppy 327ml,12000,6
174,Lon coca nguyên bản lớn 320ml,12000,12
175,Lon fanta cam lớn 320ml,10000,6
176,Lon fanta dâu lớn 320ml,10000,6
177,Snack cá fullfish vị BBQ 45g,33000,3
178,Snack cá fullfish gà nướng 45g,33000,3
179,Tóp mỡ cháy tỏi luckystar25g,26000,3
